stimuli_presented,interlocutor_id,name,context_type,silly_or_annoying,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever,generally_sarcastic,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,experiment
1nn,40,1nn_40,nn,3,5,5,-0.254132511,1.70568975,1.70568975,0,0,1,0,0,0,0,0,5,3,3,5,2,4,generation
2nn,40,2nn_40,nn,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
3nn,40,3nn_40,nn,4,5,5,0.762397534,1.70568975,1.70568975,0,0,1,0,0,1,0,0,5,3,3,5,2,4,generation
4nn,40,4nn_40,nn,5,3,3,1.77892758,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
5nn,40,5nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
6nn,40,6nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
7nn,40,7nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
8nn,40,8nn_40,nn,4,5,5,0.762397534,1.70568975,1.70568975,0,1,1,0,0,0,0,0,5,3,3,5,2,4,generation
9nn,40,9nn_40,nn,5,5,5,1.77892758,1.70568975,1.70568975,0,0,1,1,0,0,0,0,5,3,3,5,2,4,generation
10nn,40,10nn_40,nn,4,2,2,0.762397534,-0.978674447,-0.978674447,0,1,0,0,1,1,0,0,5,3,3,5,2,4,generation
11nn,40,11nn_40,nn,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
12nn,40,12nn_40,nn,5,3,3,1.77892758,-0.083886381,-0.083886381,0,1,0,0,0,0,0,0,5,3,3,5,2,4,generation
13nn,40,13nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
10n,40,10n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,1,0,0,0,1,0,0,5,3,3,5,2,4,generation
15nn,40,15nn_40,nn,4,4,4,0.762397534,0.810901684,0.810901684,0,1,0,1,0,1,0,0,5,3,3,5,2,4,generation
16nn,40,16nn_40,nn,4,4,4,0.762397534,0.810901684,0.810901684,0,1,0,0,0,1,0,0,5,3,3,5,2,4,generation
11n,40,11n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,1,0,5,3,3,5,2,4,generation
12n,40,12n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
13n,40,13n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
14n,40,14n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
15n,40,15n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
16n,40,16n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
7n,40,7n_40,n,4,5,5,0.762397534,1.70568975,1.70568975,0,0,1,1,0,0,0,0,5,3,3,5,2,4,generation
8n,40,8n_40,n,3,2,2,-0.254132511,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
9n,40,9n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,0,1,0,5,3,3,5,2,4,generation
14nn,40,14nn_40,nn,4,3,3,0.762397534,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
1n,40,1n_40,n,3,2,2,-0.254132511,-0.978674447,-0.978674447,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
2n,40,2n_40,n,3,4,4,-0.254132511,0.810901684,0.810901684,0,0,1,0,0,0,0,0,5,3,3,5,2,4,generation
3n,40,3n_40,n,3,2,2,-0.254132511,-0.978674447,-0.978674447,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
4n,40,4n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
5n,40,5n_40,n,5,5,5,1.77892758,1.70568975,1.70568975,0,0,1,1,0,0,0,0,5,3,3,5,2,4,generation
6n,40,6n_40,n,4,3,3,0.762397534,-0.083886381,-0.083886381,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
1nn,50,1nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
2nn,50,2nn_50,nn,5,1,5,1.717932556,-0.2514108,3.336843502,0,0,0,1,1,0,0,1,,,,,,,generation
3nn,50,3nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,1,0,,,,,,,generation
4nn,50,4nn_50,nn,5,1,5,1.717932556,-0.2514108,3.336843502,0,0,0,1,1,0,0,0,,,,,,,generation
5nn,50,5nn_50,nn,4,1,1,1.126815978,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
6nn,50,6nn_50,nn,6,1,4,2.309049135,-0.2514108,2.424202544,0,0,0,0,1,1,0,0,,,,,,,generation
7nn,50,7nn_50,nn,5,1,1,1.717932556,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
8nn,50,8nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
9nn,50,9nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,1,0,,,,,,,generation
10nn,50,10nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
11nn,50,11nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
12nn,50,12nn_50,nn,4,4,1,1.126815978,3.196508738,-0.313720329,0,0,0,1,1,1,0,0,,,,,,,generation
13nn,50,13nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
10n,50,10n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,1,0,,,,,,,generation
15nn,50,15nn_50,nn,4,1,1,1.126815978,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
16nn,50,16nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
11n,50,11n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
12n,50,12n_50,n,4,1,1,1.126815978,-0.2514108,-0.313720329,0,0,0,0,1,0,0,1,,,,,,,generation
13n,50,13n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
14n,50,14n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
15n,50,15n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
16n,50,16n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
7n,50,7n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
8n,50,8n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
9n,50,9n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,1,0,,,,,,,generation
14nn,50,14nn_50,nn,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
1n,50,1n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
2n,50,2n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,1,0,,,,,,,generation
3n,50,3n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,1,0,,,,,,,generation
4n,50,4n_50,n,1,1,1,-0.646533758,-0.2514108,-0.313720329,0,0,0,0,1,0,1,0,,,,,,,generation
5n,50,5n_50,n,4,5,1,1.126815978,4.34581525,-0.313720329,0,0,0,0,1,0,0,0,,,,,,,generation
6n,50,6n_50,n,4,1,1,1.126815978,-0.2514108,-0.313720329,0,0,0,0,1,1,0,0,,,,,,,generation
1nn,57,1nn_57,nn,4,5,4,-0.29185153,0.441978111,0.255959184,0,1,0,0,0,1,0,0,4,4,3,3,4,5,generation
2nn,57,2nn_57,nn,3,6,6,-0.914468126,0.947095951,1.348051701,0,0,1,1,0,0,0,0,4,4,3,3,4,5,generation
3nn,57,3nn_57,nn,2,6,6,-1.537084723,0.947095951,1.348051701,0,0,1,0,1,0,0,0,4,4,3,3,4,5,generation
4nn,57,4nn_57,nn,6,5,5,0.953381664,0.441978111,0.802005442,0,0,0,0,1,0,0,0,4,4,3,3,4,5,generation
5nn,57,5nn_57,nn,5,1,1,0.330765067,-1.578493252,-1.382179592,1,0,0,0,0,1,0,0,4,4,3,3,4,5,generation
6nn,57,6nn_57,nn,5,1,1,0.330765067,-1.578493252,-1.382179592,1,0,0,0,0,1,0,0,4,4,3,3,4,5,generation
7nn,57,7nn_57,nn,6,1,1,0.953381664,-1.578493252,-1.382179592,0,1,0,0,0,1,0,0,4,4,3,3,4,5,generation
8nn,57,8nn_57,nn,4,6,6,-0.29185153,0.947095951,1.348051701,0,0,1,1,1,0,0,0,4,4,3,3,4,5,generation
9nn,57,9nn_57,nn,6,3,3,0.953381664,-0.568257571,-0.290087075,0,0,0,0,1,1,0,0,4,4,3,3,4,5,generation
10nn,57,10nn_57,nn,6,5,4,0.953381664,0.441978111,0.255959184,1,0,0,0,0,1,0,0,4,4,3,3,4,5,generation
11nn,57,11nn_57,nn,5,6,4,0.330765067,0.947095951,0.255959184,0,1,0,1,0,0,0,0,4,4,3,3,4,5,generation
12nn,57,12nn_57,nn,6,4,3,0.953381664,-0.06313973,-0.290087075,1,0,0,0,0,0,0,0,4,4,3,3,4,5,generation
13nn,57,13nn_57,nn,3,3,2,-0.914468126,-0.568257571,-0.836133333,0,1,0,0,0,0,0,0,4,4,3,3,4,5,generation
10n,57,10n_57,n,3,1,1,-0.914468126,-1.578493252,-1.382179592,0,0,0,0,0,0,1,0,4,4,3,3,4,5,generation
15nn,57,15nn_57,nn,6,4,3,0.953381664,-0.06313973,-0.290087075,1,0,0,0,0,1,0,0,4,4,3,3,4,5,generation
16nn,57,16nn_57,nn,6,6,5,0.953381664,0.947095951,0.802005442,1,0,0,0,0,0,0,1,4,4,3,3,4,5,generation
11n,57,11n_57,n,5,5,2,0.330765067,0.441978111,-0.836133333,0,1,0,0,1,0,0,0,4,4,3,3,4,5,generation
12n,57,12n_57,n,3,5,4,-0.914468126,0.441978111,0.255959184,0,0,0,1,0,0,0,0,4,4,3,3,4,5,generation
13n,57,13n_57,n,5,6,3,0.330765067,0.947095951,-0.290087075,0,1,0,0,0,0,0,0,4,4,3,3,4,5,generation
14n,57,14n_57,n,4,6,6,-0.29185153,0.947095951,1.348051701,0,1,0,0,0,1,0,0,4,4,3,3,4,5,generation
15n,57,15n_57,n,6,3,2,0.953381664,-0.568257571,-0.836133333,1,0,0,0,0,1,0,0,4,4,3,3,4,5,generation
16n,57,16n_57,n,1,1,1,-2.159701319,-1.578493252,-1.382179592,0,0,0,0,1,1,0,0,4,4,3,3,4,5,generation
7n,57,7n_57,n,6,6,5,0.953381664,0.947095951,0.802005442,0,0,0,1,0,1,0,0,4,4,3,3,4,5,generation
8n,57,8n_57,n,5,1,1,0.330765067,-1.578493252,-1.382179592,0,1,0,0,0,1,0,0,4,4,3,3,4,5,generation
9n,57,9n_57,n,1,5,5,-2.159701319,0.441978111,0.802005442,0,0,1,1,0,0,0,0,4,4,3,3,4,5,generation
14nn,57,14nn_57,nn,6,6,5,0.953381664,0.947095951,0.802005442,0,0,0,1,0,0,0,0,4,4,3,3,4,5,generation
1n,57,1n_57,n,3,5,5,-0.914468126,0.441978111,0.802005442,0,0,1,1,0,0,0,0,4,4,3,3,4,5,generation
2n,57,2n_57,n,3,5,5,-0.914468126,0.441978111,0.802005442,0,0,1,0,1,0,0,0,4,4,3,3,4,5,generation
3n,57,3n_57,n,5,2,2,0.330765067,-1.073375411,-0.836133333,1,0,0,0,0,0,0,0,4,4,3,3,4,5,generation
4n,57,4n_57,n,6,6,6,0.953381664,0.947095951,1.348051701,0,0,1,0,0,1,0,0,4,4,3,3,4,5,generation
5n,57,5n_57,n,6,1,1,0.953381664,-1.578493252,-1.382179592,0,0,0,0,1,0,0,0,4,4,3,3,4,5,generation
6n,57,6n_57,n,2,6,5,-1.537084723,0.947095951,0.802005442,0,0,0,1,0,0,0,0,4,4,3,3,4,5,generation
1nn,34,1nn_34,nn,4,4,2,0.279016299,0.01865732,-1.432295566,0,0,0,0,1,0,0,0,4,4,5,5,2,5,generation
2nn,34,2nn_34,nn,4,4,4,0.279016299,0.01865732,0.477431855,0,0,0,1,0,0,0,0,4,4,5,5,2,5,generation
3nn,34,3nn_34,nn,5,5,2,0.96582565,0.615691552,-1.432295566,0,0,1,0,0,1,0,0,4,4,5,5,2,5,generation
4nn,34,4nn_34,nn,5,6,1,0.96582565,1.212725784,-2.387159277,0,1,1,0,0,1,0,0,4,4,5,5,2,5,generation
5nn,34,5nn_34,nn,4,2,5,0.279016299,-1.175411144,1.432295566,0,1,1,0,0,1,0,1,4,4,5,5,2,5,generation
6nn,34,6nn_34,nn,6,5,5,1.652635002,0.615691552,1.432295566,0,1,1,0,0,1,0,0,4,4,5,5,2,5,generation
7nn,34,7nn_34,nn,6,2,5,1.652635002,-1.175411144,1.432295566,1,0,0,0,0,1,0,0,4,4,5,5,2,5,generation
8nn,34,8nn_34,nn,3,6,3,-0.407793052,1.212725784,-0.477431855,0,0,0,0,1,0,0,0,4,4,5,5,2,5,generation
9nn,34,9nn_34,nn,3,5,3,-0.407793052,0.615691552,-0.477431855,0,0,0,1,1,0,0,0,4,4,5,5,2,5,generation
10nn,34,10nn_34,nn,4,6,3,0.279016299,1.212725784,-0.477431855,0,1,1,0,0,0,0,0,4,4,5,5,2,5,generation
11nn,34,11nn_34,nn,3,5,3,-0.407793052,0.615691552,-0.477431855,0,1,1,0,1,1,0,0,4,4,5,5,2,5,generation
12nn,34,12nn_34,nn,3,5,4,-0.407793052,0.615691552,0.477431855,0,1,1,0,0,0,0,0,4,4,5,5,2,5,generation
13nn,34,13nn_34,nn,4,6,3,0.279016299,1.212725784,-0.477431855,0,0,0,0,1,0,0,0,4,4,5,5,2,5,generation
10n,34,10n_34,n,5,5,3,0.96582565,0.615691552,-0.477431855,0,0,0,0,1,0,0,0,4,4,5,5,2,5,generation
15nn,34,15nn_34,nn,4,5,2,0.279016299,0.615691552,-1.432295566,0,1,1,0,1,0,0,0,4,4,5,5,2,5,generation
16nn,34,16nn_34,nn,4,4,4,0.279016299,0.01865732,0.477431855,0,1,0,0,0,1,0,0,4,4,5,5,2,5,generation
11n,34,11n_34,n,1,1,4,-1.781411755,-1.772445376,0.477431855,0,0,0,0,1,0,1,0,4,4,5,5,2,5,generation
12n,34,12n_34,n,4,6,4,0.279016299,1.212725784,0.477431855,0,0,1,0,0,1,0,0,4,4,5,5,2,5,generation
13n,34,13n_34,n,1,5,2,-1.781411755,0.615691552,-1.432295566,0,0,0,0,1,0,1,0,4,4,5,5,2,5,generation
14n,34,14n_34,n,3,2,5,-0.407793052,-1.175411144,1.432295566,0,1,0,0,0,1,0,0,4,4,5,5,2,5,generation
15n,34,15n_34,n,1,2,2,-1.781411755,-1.175411144,-1.432295566,0,0,0,0,0,0,1,0,4,4,5,5,2,5,generation
16n,34,16n_34,n,2,4,3,-1.094602404,0.01865732,-0.477431855,0,0,1,0,1,0,1,0,4,4,5,5,2,5,generation
7n,34,7n_34,n,4,5,4,0.279016299,0.615691552,0.477431855,0,0,1,0,1,0,0,0,4,4,5,5,2,5,generation
8n,34,8n_34,n,5,1,5,0.96582565,-1.772445376,1.432295566,0,1,0,0,1,1,0,1,4,4,5,5,2,5,generation
9n,34,9n_34,n,1,5,4,-1.781411755,0.615691552,0.477431855,0,0,1,0,0,0,1,0,4,4,5,5,2,5,generation
14nn,34,14nn_34,nn,5,2,3,0.96582565,-1.175411144,-0.477431855,0,1,1,0,1,0,0,0,4,4,5,5,2,5,generation
1n,34,1n_34,n,1,1,4,-1.781411755,-1.772445376,0.477431855,0,0,0,0,1,1,0,0,4,4,5,5,2,5,generation
2n,34,2n_34,n,3,5,4,-0.407793052,0.615691552,0.477431855,0,0,1,0,0,0,1,0,4,4,5,5,2,5,generation
3n,34,3n_34,n,4,2,4,0.279016299,-1.175411144,0.477431855,0,1,0,0,0,1,0,0,4,4,5,5,2,5,generation
4n,34,4n_34,n,5,5,4,0.96582565,0.615691552,0.477431855,0,1,1,0,1,0,0,0,4,4,5,5,2,5,generation
5n,34,5n_34,n,5,2,4,0.96582565,-1.175411144,0.477431855,0,0,0,0,0,1,0,0,4,4,5,5,2,5,generation
6n,34,6n_34,n,3,4,4,-0.407793052,0.01865732,0.477431855,0,0,0,0,0,0,1,0,4,4,5,5,2,5,generation
1nn,53,1nn_53,nn,1,5,4,-1.048397186,1.085534847,0.369414931,0,0,1,0,0,0,0,0,4,3,4,3,2,5,generation
2nn,53,2nn_53,nn,1,6,5,-1.048397186,1.694957919,1.026152586,0,0,1,0,0,0,0,0,4,3,4,3,2,5,generation
3nn,53,3nn_53,nn,3,3,2,0.033819264,-0.133311297,-0.944060379,1,0,0,0,0,0,0,0,4,3,4,3,2,5,generation
4nn,53,4nn_53,nn,5,4,5,1.116035714,0.476111775,1.026152586,0,0,0,1,0,0,0,0,4,3,4,3,2,5,generation
5nn,53,5nn_53,nn,4,2,1,0.574927489,-0.742734369,-1.600798035,0,1,0,0,0,0,0,0,4,3,4,3,2,5,generation
6nn,53,6nn_53,nn,3,3,4,0.033819264,-0.133311297,0.369414931,0,0,0,0,0,0,1,0,4,3,4,3,2,5,generation
7nn,53,7nn_53,nn,3,1,1,0.033819264,-1.352157441,-1.600798035,1,0,0,0,0,0,0,0,4,3,4,3,2,5,generation
8nn,53,8nn_53,nn,2,5,6,-0.507288961,1.085534847,1.682890242,0,0,0,1,0,0,0,0,4,3,4,3,2,5,generation
9nn,53,9nn_53,nn,6,5,6,1.657143939,1.085534847,1.682890242,0,1,0,1,0,0,0,1,4,3,4,3,2,5,generation
10nn,53,10nn_53,nn,6,5,5,1.657143939,1.085534847,1.026152586,0,1,0,0,0,1,0,0,4,3,4,3,2,5,generation
11nn,53,11nn_53,nn,1,4,4,-1.048397186,0.476111775,0.369414931,0,1,0,1,0,1,0,0,4,3,4,3,2,5,generation
12nn,53,12nn_53,nn,4,3,4,0.574927489,-0.133311297,0.369414931,0,1,0,0,0,1,0,0,4,3,4,3,2,5,generation
13nn,53,13nn_53,nn,1,5,4,-1.048397186,1.085534847,0.369414931,0,0,0,0,1,1,0,0,4,3,4,3,2,5,generation
10n,53,10n_53,n,6,2,3,1.657143939,-0.742734369,-0.287322724,0,1,0,0,0,1,0,0,4,3,4,3,2,5,generation
15nn,53,15nn_53,nn,6,5,5,1.657143939,1.085534847,1.026152586,1,0,0,0,0,1,0,0,4,3,4,3,2,5,generation
16nn,53,16nn_53,nn,6,5,4,1.657143939,1.085534847,0.369414931,0,0,0,0,0,1,0,0,4,3,4,3,2,5,generation
11n,53,11n_53,n,1,2,4,-1.048397186,-0.742734369,0.369414931,0,0,0,0,0,0,1,0,4,3,4,3,2,5,generation
12n,53,12n_53,n,2,2,1,-0.507288961,-0.742734369,-1.600798035,0,0,0,0,1,0,0,0,4,3,4,3,2,5,generation
13n,53,13n_53,n,1,1,2,-1.048397186,-1.352157441,-0.944060379,0,0,0,0,1,1,1,0,4,3,4,3,2,5,generation
14n,53,14n_53,n,1,5,5,-1.048397186,1.085534847,1.026152586,0,0,0,0,1,1,1,0,4,3,4,3,2,5,generation
15n,53,15n_53,n,1,1,2,-1.048397186,-1.352157441,-0.944060379,0,0,0,0,0,0,1,0,4,3,4,3,2,5,generation
16n,53,16n_53,n,1,1,2,-1.048397186,-1.352157441,-0.944060379,0,0,0,0,0,1,1,0,4,3,4,3,2,5,generation
7n,53,7n_53,n,2,1,1,-0.507288961,-1.352157441,-1.600798035,0,0,0,0,1,0,1,0,4,3,4,3,2,5,generation
8n,53,8n_53,n,3,4,5,0.033819264,0.476111775,1.026152586,1,0,0,0,1,1,0,0,4,3,4,3,2,5,generation
9n,53,9n_53,n,1,4,4,-1.048397186,0.476111775,0.369414931,0,0,0,0,1,1,1,0,4,3,4,3,2,5,generation
14nn,53,14nn_53,nn,6,2,3,1.657143939,-0.742734369,-0.287322724,1,0,0,0,0,1,0,0,4,3,4,3,2,5,generation
1n,53,1n_53,n,3,2,2,0.033819264,-0.742734369,-0.944060379,0,0,0,0,0,0,0,1,4,3,4,3,2,5,generation
2n,53,2n_53,n,2,5,4,-0.507288961,1.085534847,0.369414931,0,0,0,1,0,0,0,1,4,3,4,3,2,5,generation
3n,53,3n_53,n,4,2,3,0.574927489,-0.742734369,-0.287322724,1,0,0,0,0,0,0,0,4,3,4,3,2,5,generation
4n,53,4n_53,n,2,2,2,-0.507288961,-0.742734369,-0.944060379,0,1,0,0,0,0,0,0,4,3,4,3,2,5,generation
5n,53,5n_53,n,3,5,5,0.033819264,1.085534847,1.026152586,0,0,1,0,0,0,0,0,4,3,4,3,2,5,generation
6n,53,6n_53,n,3,1,2,0.033819264,-1.352157441,-0.944060379,0,0,0,0,0,0,1,0,4,3,4,3,2,5,generation
1nn,29,1nn_29,nn,2,5,4,-0.787024154,1.385769589,0.868027777,0,0,1,0,0,0,0,0,5,4,4,5,3,4,generation
2nn,29,2nn_29,nn,2,4,4,-0.787024154,0.76119738,0.868027777,0,0,0,1,0,0,0,0,5,4,4,5,3,4,generation
3nn,29,3nn_29,nn,3,6,6,0.025387876,2.010341798,2.190736771,0,1,0,0,0,0,0,0,5,4,4,5,3,4,generation
4nn,29,4nn_29,nn,5,2,5,1.650211936,-0.487947038,1.529382274,0,0,0,0,0,0,0,1,5,4,4,5,3,4,generation
5nn,29,5nn_29,nn,4,2,2,0.837799906,-0.487947038,-0.454681217,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
6nn,29,6nn_29,nn,5,1,1,1.650211936,-1.112519247,-1.116035714,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
7nn,29,7nn_29,nn,4,1,1,0.837799906,-1.112519247,-1.116035714,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
8nn,29,8nn_29,nn,2,1,1,-0.787024154,-1.112519247,-1.116035714,0,0,0,0,0,0,0,1,5,4,4,5,3,4,generation
9nn,29,9nn_29,nn,3,5,5,0.025387876,1.385769589,1.529382274,0,0,1,0,0,0,0,0,5,4,4,5,3,4,generation
10nn,29,10nn_29,nn,4,2,2,0.837799906,-0.487947038,-0.454681217,1,0,0,0,0,0,0,0,5,4,4,5,3,4,generation
11nn,29,11nn_29,nn,3,1,1,0.025387876,-1.112519247,-1.116035714,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
12nn,29,12nn_29,nn,4,2,2,0.837799906,-0.487947038,-0.454681217,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
13nn,29,13nn_29,nn,2,4,2,-0.787024154,0.76119738,-0.454681217,0,0,0,1,0,0,0,0,5,4,4,5,3,4,generation
10n,29,10n_29,n,4,3,3,0.837799906,0.136625171,0.20667328,0,0,0,1,0,0,0,0,5,4,4,5,3,4,generation
15nn,29,15nn_29,nn,4,3,4,0.837799906,0.136625171,0.868027777,1,0,0,1,0,0,0,0,5,4,4,5,3,4,generation
16nn,29,16nn_29,nn,5,6,4,1.650211936,2.010341798,0.868027777,0,0,0,1,0,0,0,1,5,4,4,5,3,4,generation
11n,29,11n_29,n,1,1,1,-1.599436184,-1.112519247,-1.116035714,0,0,0,0,0,0,1,0,5,4,4,5,3,4,generation
12n,29,12n_29,n,1,1,1,-1.599436184,-1.112519247,-1.116035714,0,0,0,0,1,0,0,0,5,4,4,5,3,4,generation
13n,29,13n_29,n,1,1,1,-1.599436184,-1.112519247,-1.116035714,0,0,0,0,1,0,0,0,5,4,4,5,3,4,generation
14n,29,14n_29,n,3,3,3,0.025387876,0.136625171,0.20667328,0,0,0,0,1,1,0,0,5,4,4,5,3,4,generation
15n,29,15n_29,n,3,2,2,0.025387876,-0.487947038,-0.454681217,0,0,0,1,0,0,1,0,5,4,4,5,3,4,generation
16n,29,16n_29,n,1,1,1,-1.599436184,-1.112519247,-1.116035714,0,0,0,0,0,0,1,0,5,4,4,5,3,4,generation
7n,29,7n_29,n,1,1,1,-1.599436184,-1.112519247,-1.116035714,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
8n,29,8n_29,n,3,2,2,0.025387876,-0.487947038,-0.454681217,0,0,0,0,0,0,1,0,5,4,4,5,3,4,generation
9n,29,9n_29,n,3,4,4,0.025387876,0.76119738,0.868027777,0,0,0,0,0,0,1,0,5,4,4,5,3,4,generation
14nn,29,14nn_29,nn,4,4,3,0.837799906,0.76119738,0.20667328,0,1,0,0,0,0,0,0,5,4,4,5,3,4,generation
1n,29,1n_29,n,3,2,2,0.025387876,-0.487947038,-0.454681217,0,0,0,0,1,0,0,0,5,4,4,5,3,4,generation
2n,29,2n_29,n,4,5,5,0.837799906,1.385769589,1.529382274,0,0,0,1,0,0,0,0,5,4,4,5,3,4,generation
3n,29,3n_29,n,2,4,3,-0.787024154,0.76119738,0.20667328,0,0,0,0,0,1,0,0,5,4,4,5,3,4,generation
4n,29,4n_29,n,4,4,5,0.837799906,0.76119738,1.529382274,0,0,1,0,0,0,0,0,5,4,4,5,3,4,generation
5n,29,5n_29,n,2,4,3,-0.787024154,0.76119738,0.20667328,0,0,0,0,0,0,0,1,5,4,4,5,3,4,generation
6n,29,6n_29,n,3,2,2,0.025387876,-0.487947038,-0.454681217,0,0,0,0,1,0,0,0,5,4,4,5,3,4,generation
1nn,51,1nn_51,nn,2,5,6,-1.371402548,1.468486722,1.810437653,0,1,1,0,0,1,0,1,4,1,5,4,1,5,generation
2nn,51,2nn_51,nn,6,4,5,1.459880132,0.833465437,1.236833644,0,1,1,1,0,0,0,1,4,1,5,4,1,5,generation
3nn,51,3nn_51,nn,4,4,5,0.044238792,0.833465437,1.236833644,0,1,1,0,0,0,0,0,4,1,5,4,1,5,generation
4nn,51,4nn_51,nn,2,4,4,-1.371402548,0.833465437,0.663229635,0,0,0,1,0,0,0,1,4,1,5,4,1,5,generation
5nn,51,5nn_51,nn,6,3,4,1.459880132,0.198444152,0.663229635,0,1,1,0,0,0,0,1,4,1,5,4,1,5,generation
6nn,51,6nn_51,nn,1,1,2,-2.079223218,-1.071598419,-0.483978382,0,0,0,0,0,1,0,0,4,1,5,4,1,5,generation
7nn,51,7nn_51,nn,2,3,2,-1.371402548,0.198444152,-0.483978382,0,0,0,0,0,0,0,1,4,1,5,4,1,5,generation
